# Solver information
# Time        	alpha.grout_solver	alpha.grout_initial	alpha.grout_final	alpha.grout_iters	alpha.grout_converged	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
5.4           	smoothSolver	4.086460e-08	3.443070e-17	1	true	DICPCG	1.377370e-07	8.665860e-08	6	true
5.5           	smoothSolver	4.022080e-09	4.022080e-09	0	true	DICPCG	2.094070e-07	4.488320e-08	7	true
5.6           	smoothSolver	5.004470e-09	5.004470e-09	0	true	DICPCG	1.459910e-07	7.076450e-08	4	true
5.7           	smoothSolver	8.088030e-09	8.088030e-09	0	true	DICPCG	1.075460e-07	9.123930e-08	4	true
5.8           	smoothSolver	1.360500e-08	3.397680e-17	1	true	DICPCG	1.358840e-07	4.540840e-08	6	true
5.9           	smoothSolver	2.331360e-08	3.405780e-17	1	true	DICPCG	3.956250e-08	3.956250e-08	0	true
6             	smoothSolver	5.173040e-08	3.372150e-17	1	true	DICPCG	5.825990e-08	5.825990e-08	0	true
6.1           	smoothSolver	7.537280e-08	3.394950e-17	1	true	DICPCG	9.041210e-08	9.041210e-08	0	true
6.2           	smoothSolver	9.520020e-08	3.371800e-17	1	true	DICPCG	1.251280e-07	6.900660e-08	6	true
6.3           	smoothSolver	6.770890e-09	6.770890e-09	0	true	DICPCG	1.144130e-07	8.509790e-08	5	true
6.4           	smoothSolver	9.330170e-09	9.330170e-09	0	true	DICPCG	2.080840e-07	7.594570e-08	7	true
6.5           	smoothSolver	1.529160e-08	3.443440e-17	1	true	DICPCG	2.077420e-07	7.438150e-08	7	true
6.6           	smoothSolver	2.617460e-08	3.443770e-17	1	true	DICPCG	1.928160e-07	5.323240e-08	9	true
6.7           	smoothSolver	4.591100e-08	3.390420e-17	1	true	DICPCG	1.757690e-07	5.871800e-08	10	true
6.8           	smoothSolver	8.186710e-08	3.359630e-17	1	true	DICPCG	9.573560e-08	9.573560e-08	0	true
6.9           	smoothSolver	6.832820e-10	6.832820e-10	0	true	DICPCG	7.213300e-08	7.213300e-08	0	true
7             	smoothSolver	9.812970e-09	9.812970e-09	0	true	DICPCG	8.462040e-08	8.462040e-08	0	true
7.1           	smoothSolver	1.732200e-08	3.415780e-17	1	true	DICPCG	9.705640e-08	9.705640e-08	0	true
7.2           	smoothSolver	2.333990e-08	3.473360e-17	1	true	DICPCG	1.091450e-07	6.855510e-08	12	true
7.3           	smoothSolver	4.011350e-08	3.361650e-17	1	true	DICPCG	7.987080e-08	7.987080e-08	0	true
7.4           	smoothSolver	9.050570e-08	3.428300e-17	1	true	DICPCG	9.266660e-08	9.266660e-08	0	true
7.5           	smoothSolver	1.325470e-07	3.451770e-17	1	true	DICPCG	1.076070e-07	9.160940e-08	19	true
7.6           	smoothSolver	2.267380e-07	3.421510e-17	1	true	DICPCG	1.616680e-07	6.154160e-08	18	true
7.7           	smoothSolver	1.290170e-08	3.363700e-17	1	true	DICPCG	1.116590e-07	9.067980e-08	13	true
7.8           	smoothSolver	2.021020e-09	2.021020e-09	0	true	DICPCG	1.111580e-07	5.819930e-08	6	true
7.9           	smoothSolver	2.998870e-09	2.998870e-09	0	true	DICPCG	5.506320e-08	5.506320e-08	0	true
8             	smoothSolver	5.867420e-09	5.867420e-09	0	true	DICPCG	5.973910e-08	5.973910e-08	0	true
8.1           	smoothSolver	8.257500e-09	8.257500e-09	0	true	DICPCG	6.685790e-08	6.685790e-08	0	true
